epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,563.337,0.95464,1.85786,0.83975,1.0977,0.84038,0.6863,0.77954,0.57394,0.83308,0.67912,0.76293,0.43726,0.95407,1.89992,0.89589,1.0492,0.0014258,0.0014258,0.0014258
31,582.084,0.93265,1.82722,0.81706,1.09735,0.84427,0.71264,0.81163,0.60397,0.83872,0.70307,0.78865,0.46339,0.9448,1.86982,0.78919,1.02793,0.001406,0.001406,0.001406
32,600.89,0.92148,1.81369,0.79415,1.086,0.81165,0.70881,0.80008,0.5917,0.8333,0.68232,0.78138,0.44791,0.94438,1.85754,0.82447,1.02958,0.0013862,0.0013862,0.0013862
33,619.893,0.92765,1.82059,0.7972,1.08626,0.80196,0.71025,0.78251,0.56841,0.79715,0.69971,0.7613,0.42755,0.99068,1.93916,0.87378,1.05898,0.0013664,0.0013664,0.0013664
34,638.89,0.91274,1.76953,0.78101,1.07662,0.82748,0.71211,0.80524,0.59554,0.80804,0.72079,0.78892,0.4528,0.9409,1.86672,0.8391,1.02003,0.0013466,0.0013466,0.0013466
35,657.714,0.91046,1.78376,0.77698,1.07584,0.84482,0.73515,0.82078,0.61478,0.83987,0.72345,0.79942,0.47185,0.90025,1.80771,0.76813,1.002,0.0013268,0.0013268,0.0013268
36,676.333,0.91282,1.76908,0.76634,1.07026,0.84805,0.72845,0.80852,0.61178,0.84125,0.72031,0.79061,0.47442,0.90567,1.79659,0.77652,1.00233,0.001307,0.001307,0.001307
37,695.118,0.89015,1.77891,0.75936,1.06762,0.84612,0.71264,0.79815,0.59749,0.83476,0.70785,0.78522,0.45067,0.93439,1.84441,0.80599,1.03534,0.0012872,0.0012872,0.0012872
38,713.675,0.89316,1.74656,0.76458,1.06262,0.84249,0.73265,0.8127,0.62158,0.84553,0.71935,0.79941,0.47482,0.88992,1.81465,0.79343,1.00576,0.0012674,0.0012674,0.0012674
39,732.417,0.89637,1.76655,0.75523,1.07109,0.83147,0.72797,0.81696,0.61927,0.82907,0.72174,0.8011,0.4787,0.89768,1.76734,0.77898,1.00136,0.0012476,0.0012476,0.0012476
40,751.013,0.87991,1.7543,0.7475,1.06403,0.87162,0.72838,0.82935,0.63676,0.86184,0.71999,0.81073,0.48582,0.87226,1.75983,0.73474,0.98999,0.0012278,0.0012278,0.0012278
41,769.771,0.88116,1.74253,0.74015,1.06048,0.86089,0.74691,0.832,0.63279,0.85733,0.7409,0.81445,0.48552,0.86837,1.76284,0.74668,0.98864,0.001208,0.001208,0.001208
42,788.589,0.85866,1.70071,0.71464,1.04633,0.86827,0.74856,0.83772,0.63712,0.86728,0.7409,0.82007,0.48791,0.86714,1.73174,0.73568,0.98687,0.0011882,0.0011882,0.0011882
43,807.163,0.86292,1.70999,0.71614,1.05218,0.86266,0.75508,0.83581,0.65109,0.86195,0.74808,0.81865,0.4915,0.83052,1.69389,0.70691,0.96754,0.0011684,0.0011684,0.0011684
44,826.258,0.85054,1.68206,0.71045,1.04907,0.85845,0.76102,0.84283,0.65711,0.85683,0.75958,0.83353,0.51099,0.8379,1.69045,0.71255,0.96423,0.0011486,0.0011486,0.0011486
45,845.211,0.85278,1.67901,0.71275,1.04209,0.86409,0.74282,0.82122,0.64112,0.86162,0.74138,0.80674,0.49574,0.83011,1.68072,0.75836,0.96363,0.0011288,0.0011288,0.0011288
46,864.039,0.83998,1.6724,0.69278,1.0395,0.86344,0.77059,0.84742,0.66003,0.8644,0.76322,0.83339,0.50275,0.83802,1.6873,0.69839,0.96761,0.001109,0.001109,0.001109
47,882.896,0.83645,1.6741,0.68824,1.03466,0.86218,0.77297,0.8533,0.66559,0.86173,0.76412,0.83869,0.50906,0.81794,1.67789,0.6932,0.95301,0.0010892,0.0010892,0.0010892
48,901.947,0.84613,1.68208,0.69809,1.03693,0.88502,0.76679,0.86065,0.67587,0.87618,0.75913,0.8443,0.50837,0.79935,1.67224,0.66323,0.94202,0.0010694,0.0010694,0.0010694
49,920.262,0.82359,1.64449,0.68243,1.03073,0.8814,0.7433,0.84894,0.66664,0.90024,0.72222,0.82861,0.51031,0.81235,1.64618,0.71414,0.95569,0.0010496,0.0010496,0.0010496
50,938.847,0.82213,1.64608,0.67702,1.02673,0.85087,0.78696,0.85686,0.6736,0.84199,0.77586,0.83477,0.51139,0.81,1.69742,0.67378,0.95872,0.0010298,0.0010298,0.0010298
51,957.39,0.82101,1.63209,0.67831,1.03239,0.88303,0.79167,0.86376,0.68908,0.87782,0.78496,0.84847,0.51846,0.78829,1.6409,0.63994,0.94262,0.00101,0.00101,0.00101
52,976.144,0.81839,1.6276,0.66667,1.02356,0.88014,0.78424,0.86383,0.68491,0.8753,0.77993,0.84686,0.51715,0.78991,1.65296,0.64963,0.94022,0.0009902,0.0009902,0.0009902
53,994.769,0.80425,1.61584,0.65767,1.02862,0.89031,0.77586,0.86366,0.68652,0.88602,0.76317,0.84732,0.52518,0.7791,1.6305,0.64528,0.93647,0.0009704,0.0009704,0.0009704
54,1013.86,0.81333,1.63052,0.65959,1.02327,0.9077,0.78305,0.87223,0.6965,0.89611,0.78076,0.86204,0.53327,0.77288,1.59528,0.62654,0.93125,0.0009506,0.0009506,0.0009506
55,1032.52,0.80491,1.62149,0.65876,1.02467,0.88706,0.78448,0.86854,0.69601,0.88171,0.77826,0.85192,0.53004,0.7679,1.60306,0.63105,0.93252,0.0009308,0.0009308,0.0009308
56,1051.21,0.80575,1.6213,0.66158,1.02625,0.88664,0.78305,0.87249,0.69941,0.88176,0.77874,0.85436,0.5331,0.76601,1.59833,0.62777,0.92617,0.000911,0.000911,0.000911
57,1069.84,0.79672,1.57468,0.65049,1.02189,0.89465,0.77921,0.87266,0.69393,0.89027,0.77711,0.85478,0.54012,0.77218,1.58675,0.63531,0.93176,0.0008912,0.0008912,0.0008912
58,1088.33,0.77657,1.56175,0.63594,1.0128,0.89458,0.79656,0.87965,0.70666,0.88806,0.79032,0.86212,0.53784,0.74609,1.5677,0.61942,0.92003,0.0008714,0.0008714,0.0008714
59,1106.71,0.78658,1.57693,0.64182,1.01188,0.86985,0.82263,0.88202,0.71245,0.8772,0.79837,0.86406,0.54317,0.74235,1.54498,0.60375,0.91728,0.0008516,0.0008516,0.0008516
60,1125.33,0.78529,1.56514,0.62807,1.00821,0.87768,0.81322,0.8824,0.70875,0.87778,0.80486,0.8671,0.54269,0.75144,1.54518,0.60861,0.92798,0.0008318,0.0008318,0.0008318
61,1143.99,0.77544,1.55486,0.61468,1.01125,0.89183,0.80155,0.87785,0.70789,0.90003,0.784,0.86152,0.54032,0.73813,1.54888,0.62228,0.9145,0.000812,0.000812,0.000812
62,1162.58,0.77131,1.56292,0.62393,1.00175,0.8803,0.8066,0.879,0.70743,0.87479,0.79598,0.85975,0.54332,0.73224,1.54032,0.60127,0.9084,0.0007922,0.0007922,0.0007922
63,1180.95,0.75418,1.53445,0.61922,1.00336,0.89513,0.80556,0.87989,0.71289,0.88964,0.80077,0.86532,0.55106,0.73269,1.53971,0.60486,0.9073,0.0007724,0.0007724,0.0007724
64,1199.97,0.77318,1.54662,0.62277,1.00563,0.88323,0.81992,0.88521,0.7185,0.87638,0.81226,0.87111,0.55057,0.71859,1.53224,0.59551,0.90494,0.0007526,0.0007526,0.0007526
65,1218.56,0.76519,1.54108,0.61062,1.00659,0.89649,0.80699,0.87918,0.71983,0.89142,0.8022,0.86509,0.55437,0.70563,1.52111,0.59515,0.89753,0.0007328,0.0007328,0.0007328
66,1236.97,0.75515,1.53076,0.60881,1.00153,0.89026,0.80316,0.87698,0.712,0.88524,0.79837,0.86274,0.54766,0.72633,1.54618,0.6175,0.91235,0.000713,0.000713,0.000713
67,1255.84,0.75063,1.50475,0.59356,0.99199,0.89896,0.80795,0.88307,0.72398,0.89413,0.80084,0.8637,0.55694,0.69842,1.50771,0.59611,0.89912,0.0006932,0.0006932,0.0006932
68,1274.37,0.74241,1.51325,0.59752,0.99309,0.89938,0.81897,0.88611,0.7262,0.89571,0.80029,0.86557,0.55583,0.69935,1.51971,0.5897,0.89271,0.0006734,0.0006734,0.0006734
69,1293.04,0.74266,1.50255,0.58919,0.99276,0.88838,0.82335,0.88554,0.72949,0.90693,0.79805,0.87009,0.56292,0.69374,1.47977,0.57422,0.89579,0.0006536,0.0006536,0.0006536
70,1311.69,0.74556,1.52329,0.59221,0.99012,0.91068,0.81546,0.89152,0.72993,0.90242,0.80747,0.87427,0.56035,0.699,1.49647,0.56565,0.89042,0.0006338,0.0006338,0.0006338
71,1330.28,0.73739,1.49115,0.5864,0.99118,0.8985,0.82252,0.88857,0.73025,0.89323,0.8137,0.87396,0.56295,0.6863,1.48068,0.57545,0.8934,0.000614,0.000614,0.000614
72,1348.98,0.73151,1.48478,0.58133,0.98742,0.90099,0.81992,0.89262,0.73187,0.89549,0.81513,0.87448,0.5645,0.69117,1.48816,0.56161,0.88938,0.0005942,0.0005942,0.0005942
73,1367.52,0.72251,1.47907,0.56973,0.98485,0.89424,0.80991,0.88401,0.73009,0.89095,0.80605,0.87231,0.56452,0.68657,1.48266,0.57895,0.88764,0.0005744,0.0005744,0.0005744
74,1385.94,0.72521,1.49435,0.57696,0.98905,0.897,0.82136,0.89293,0.73315,0.8883,0.81127,0.87356,0.56105,0.68302,1.47184,0.58271,0.88906,0.0005546,0.0005546,0.0005546
75,1405.01,0.71769,1.46411,0.56413,0.98425,0.90694,0.81849,0.8883,0.73504,0.90393,0.80699,0.87021,0.56592,0.67194,1.46765,0.56709,0.88374,0.0005348,0.0005348,0.0005348
76,1423.82,0.72315,1.50811,0.57547,0.98765,0.92101,0.81034,0.89267,0.73917,0.91243,0.80412,0.87586,0.56977,0.66616,1.44867,0.56258,0.87921,0.000515,0.000515,0.000515
77,1442.69,0.71263,1.47441,0.56028,0.97998,0.90053,0.82817,0.89348,0.74112,0.90481,0.81897,0.87916,0.57158,0.66702,1.44452,0.55131,0.88101,0.0004952,0.0004952,0.0004952
78,1461.43,0.70742,1.46156,0.56217,0.97798,0.90982,0.82184,0.89692,0.74317,0.91348,0.80907,0.87976,0.57228,0.66176,1.45932,0.55773,0.87795,0.0004754,0.0004754,0.0004754
79,1480.24,0.69857,1.44463,0.55091,0.97363,0.90549,0.83669,0.89839,0.74337,0.9043,0.81914,0.88065,0.58062,0.66334,1.43368,0.5439,0.87901,0.0004556,0.0004556,0.0004556
80,1499.14,0.69616,1.42634,0.54985,0.97181,0.91435,0.81082,0.89328,0.74193,0.91166,0.8022,0.87453,0.56899,0.66744,1.45555,0.55898,0.88214,0.0004358,0.0004358,0.0004358
81,1517.53,0.70397,1.4454,0.55677,0.97663,0.90369,0.82684,0.89751,0.74681,0.9126,0.81016,0.87847,0.57385,0.65585,1.43132,0.55348,0.87555,0.000416,0.000416,0.000416
82,1536.14,0.68803,1.41858,0.54929,0.97391,0.90526,0.81458,0.89077,0.74362,0.90047,0.81027,0.87506,0.57421,0.6484,1.42196,0.5763,0.87258,0.0003962,0.0003962,0.0003962
83,1554.96,0.68855,1.42137,0.54237,0.97043,0.91972,0.81756,0.89628,0.74955,0.91343,0.80795,0.87818,0.57903,0.639,1.4082,0.54475,0.86583,0.0003764,0.0003764,0.0003764
84,1573.72,0.68515,1.41969,0.53418,0.96755,0.89343,0.83429,0.89793,0.75003,0.89479,0.81322,0.87786,0.57997,0.64197,1.41853,0.54475,0.8632,0.0003566,0.0003566,0.0003566
85,1592.06,0.69704,1.42928,0.54538,0.97279,0.91108,0.83142,0.89865,0.75408,0.90603,0.81753,0.8794,0.58749,0.63433,1.4052,0.54036,0.86121,0.0003368,0.0003368,0.0003368
86,1610.89,0.67861,1.40834,0.53087,0.96549,0.90485,0.83801,0.90143,0.75737,0.89759,0.83046,0.88598,0.58639,0.6299,1.39177,0.52799,0.86356,0.000317,0.000317,0.000317
87,1629.74,0.68198,1.40543,0.53886,0.96728,0.88401,0.8501,0.89777,0.75404,0.89988,0.82652,0.88537,0.58881,0.63859,1.38748,0.53615,0.86644,0.0002972,0.0002972,0.0002972
88,1648.65,0.67993,1.41176,0.52773,0.96828,0.90227,0.84004,0.90286,0.7575,0.89536,0.83189,0.88663,0.58484,0.63277,1.38388,0.52857,0.86921,0.0002774,0.0002774,0.0002774
89,1667.46,0.67488,1.39889,0.52916,0.96525,0.89754,0.83908,0.89922,0.7581,0.90677,0.81982,0.8854,0.58285,0.62737,1.38001,0.53405,0.86181,0.0002576,0.0002576,0.0002576
90,1686.36,0.67491,1.39534,0.53251,0.96718,0.91361,0.83812,0.90057,0.75816,0.9084,0.83112,0.88681,0.58481,0.61931,1.38986,0.53369,0.85797,0.0002378,0.0002378,0.0002378
91,1707.04,0.66453,1.39232,0.52434,0.97038,0.90539,0.83869,0.89843,0.75057,0.90781,0.82567,0.88306,0.57885,0.6321,1.41203,0.52792,0.86515,0.000218,0.000218,0.000218
92,1725.5,0.6352,1.34146,0.4799,0.94834,0.91794,0.83578,0.90029,0.75636,0.91493,0.82412,0.88586,0.58345,0.62536,1.40116,0.52323,0.86346,0.0001982,0.0001982,0.0001982
93,1744.05,0.62218,1.3331,0.46864,0.94273,0.90552,0.84435,0.90151,0.75889,0.8992,0.83812,0.88713,0.58398,0.61785,1.3921,0.5137,0.85685,0.0001784,0.0001784,0.0001784
94,1762.45,0.61075,1.31549,0.45754,0.93748,0.89914,0.8539,0.90395,0.76353,0.89389,0.84291,0.88758,0.58983,0.60792,1.38675,0.50677,0.85275,0.0001586,0.0001586,0.0001586
95,1780.95,0.60822,1.30611,0.45455,0.93495,0.90266,0.85276,0.90664,0.76628,0.9014,0.84148,0.8906,0.5882,0.60812,1.37713,0.50307,0.85181,0.0001388,0.0001388,0.0001388
96,1799.27,0.59993,1.30198,0.45162,0.93341,0.90704,0.85047,0.90439,0.7684,0.90681,0.83422,0.88923,0.59356,0.59725,1.36965,0.50144,0.84857,0.000119,0.000119,0.000119
97,1817.74,0.59702,1.29007,0.44841,0.93454,0.90735,0.84818,0.90566,0.7691,0.8969,0.84626,0.89082,0.59292,0.59557,1.36745,0.50273,0.84826,9.92e-05,9.92e-05,9.92e-05
98,1836.11,0.58704,1.28595,0.44615,0.9235,0.90885,0.84962,0.90576,0.77278,0.9011,0.841,0.89261,0.59634,0.59176,1.36024,0.4988,0.84799,7.94e-05,7.94e-05,7.94e-05
99,1854.49,0.58944,1.27929,0.44446,0.9295,0.91231,0.84579,0.90521,0.77131,0.90732,0.83716,0.89064,0.59614,0.59023,1.36029,0.49494,0.84636,5.96e-05,5.96e-05,5.96e-05
100,1872.56,0.58119,1.27107,0.43766,0.92715,0.91456,0.84626,0.90509,0.77204,0.90704,0.83621,0.89188,0.59468,0.58868,1.36197,0.49798,0.84469,3.98e-05,3.98e-05,3.98e-05
