epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,514.003,0.91761,1.80784,0.75976,1.06757,0.86823,0.7227,0.82366,0.6209,0.86709,0.71548,0.80728,0.46864,0.91476,1.81792,0.7512,1.00372,0.0014258,0.0014258,0.0014258
31,531.058,0.90265,1.79137,0.75769,1.07224,0.84185,0.74443,0.82602,0.62016,0.85314,0.71983,0.80656,0.4712,0.92533,1.8313,0.75654,1.01339,0.001406,0.001406,0.001406
32,547.386,0.89437,1.76519,0.73436,1.06306,0.84761,0.75656,0.83855,0.63191,0.85034,0.74808,0.82799,0.48238,0.89028,1.80262,0.71312,0.99252,0.0013862,0.0013862,0.0013862
33,564.086,0.89894,1.78965,0.73568,1.06102,0.8549,0.73372,0.82411,0.62107,0.84567,0.73479,0.80943,0.47077,0.91106,1.80834,0.76011,1.0111,0.0013664,0.0013664,0.0013664
34,581.48,0.88992,1.74952,0.72877,1.05652,0.85214,0.76456,0.8364,0.63478,0.84934,0.75144,0.82109,0.47754,0.89,1.82119,0.71911,0.98858,0.0013466,0.0013466,0.0013466
35,598.268,0.89392,1.7744,0.72931,1.05782,0.86196,0.74463,0.83211,0.6303,0.86579,0.73841,0.81955,0.47855,0.88794,1.79582,0.76771,0.99476,0.0013268,0.0013268,0.0013268
36,614.655,0.8864,1.75004,0.71692,1.05195,0.84591,0.75239,0.83139,0.63263,0.83518,0.74569,0.81319,0.48294,0.89562,1.79251,0.73948,1.00068,0.001307,0.001307,0.001307
37,631.707,0.87224,1.74825,0.70716,1.05314,0.85587,0.75383,0.83748,0.6359,0.85083,0.74569,0.82494,0.48411,0.8825,1.75917,0.74694,0.98904,0.0012872,0.0012872,0.0012872
38,648,0.87849,1.72704,0.71712,1.04721,0.87702,0.74112,0.83735,0.64485,0.87608,0.73707,0.82171,0.49043,0.85999,1.74366,0.70437,0.9664,0.0012674,0.0012674,0.0012674
39,665.129,0.88548,1.75268,0.71165,1.05568,0.88352,0.73946,0.83788,0.6453,0.87003,0.7318,0.81858,0.48083,0.87498,1.78187,0.71405,0.98164,0.0012476,0.0012476,0.0012476
40,681.746,0.85963,1.74995,0.70668,1.04727,0.86254,0.75733,0.84539,0.65042,0.85654,0.75207,0.82791,0.49442,0.85517,1.74559,0.70432,0.97775,0.0012278,0.0012278,0.0012278
41,698.985,0.86894,1.71956,0.70374,1.04631,0.8758,0.75718,0.84209,0.65361,0.8723,0.75243,0.82907,0.49579,0.83853,1.73493,0.68167,0.96103,0.001208,0.001208,0.001208
42,715.11,0.85432,1.68914,0.68279,1.03736,0.8873,0.75,0.84616,0.65375,0.8774,0.74377,0.82524,0.48695,0.84094,1.74909,0.68286,0.96144,0.0011882,0.0011882,0.0011882
43,731.337,0.84284,1.69052,0.68078,1.03639,0.88588,0.75843,0.84825,0.65986,0.87883,0.75027,0.82921,0.50126,0.8352,1.71738,0.66879,0.96145,0.0011684,0.0011684,0.0011684
44,748.401,0.84731,1.69023,0.68707,1.04087,0.86137,0.78257,0.85013,0.65779,0.8583,0.77059,0.83273,0.49631,0.84062,1.73906,0.67593,0.96662,0.0011486,0.0011486,0.0011486
45,765.16,0.84966,1.68516,0.68314,1.03413,0.86442,0.77556,0.85342,0.65573,0.86891,0.76389,0.83222,0.50082,0.84421,1.71547,0.68226,0.96811,0.0011288,0.0011288,0.0011288
46,782.163,0.83516,1.68031,0.67102,1.02948,0.89948,0.75854,0.85476,0.668,0.89323,0.74856,0.83118,0.50148,0.82791,1.72278,0.66455,0.95977,0.001109,0.001109,0.001109
47,799.705,0.83206,1.67844,0.66648,1.02833,0.88992,0.77048,0.85836,0.66922,0.87996,0.76186,0.83983,0.50166,0.82961,1.74198,0.67255,0.95667,0.0010892,0.0010892,0.0010892
48,816.593,0.84509,1.69032,0.67272,1.03194,0.90231,0.76868,0.86152,0.6749,0.88899,0.76293,0.84147,0.50371,0.81226,1.70388,0.65414,0.95078,0.0010694,0.0010694,0.0010694
49,833.213,0.82643,1.65944,0.65695,1.02553,0.88219,0.77109,0.85482,0.67101,0.87778,0.767,0.83688,0.50245,0.81348,1.68266,0.66718,0.9443,0.0010496,0.0010496,0.0010496
50,850.45,0.82044,1.65823,0.65499,1.02081,0.88098,0.76868,0.85738,0.67076,0.89497,0.7509,0.84164,0.51492,0.81898,1.68495,0.66438,0.95187,0.0010298,0.0010298,0.0010298
51,867.623,0.82527,1.64992,0.65944,1.02513,0.86415,0.78927,0.85806,0.67706,0.85509,0.78566,0.8424,0.51697,0.80862,1.66271,0.66302,0.9497,0.00101,0.00101,0.00101
52,885.379,0.82166,1.64783,0.65281,1.02166,0.88878,0.76926,0.85679,0.67132,0.88103,0.76255,0.83861,0.5123,0.81332,1.66785,0.65724,0.9539,0.0009902,0.0009902,0.0009902
53,903.713,0.80686,1.63077,0.6432,1.02328,0.88348,0.78072,0.86021,0.67845,0.87285,0.7726,0.84264,0.51196,0.79879,1.67262,0.63553,0.94377,0.0009704,0.0009704,0.0009704
54,920.407,0.82095,1.65378,0.64462,1.02382,0.87104,0.78931,0.86362,0.67984,0.86417,0.78309,0.85038,0.52163,0.80943,1.66369,0.64307,0.95368,0.0009506,0.0009506,0.0009506
55,937.13,0.81719,1.65288,0.64722,1.02258,0.90049,0.77538,0.86479,0.68262,0.89338,0.7682,0.84791,0.52032,0.79771,1.65813,0.64245,0.942,0.0009308,0.0009308,0.0009308
